,0,1,2,3
0,https://leetcode.com/problems/the-category-of-each-member-in-the-store/,2051. The Category of Each Member in the Store,73.4%,Medium
1,https://leetcode.com/problems/minimum-cost-to-separate-sentence-into-rows/,2052. Minimum Cost to Separate Sentence Into Rows,50.3%,Medium
2,https://leetcode.com/problems/kth-distinct-string-in-an-array/,2053. Kth Distinct String in an Array,71.8%,Easy
3,https://leetcode.com/problems/two-best-non-overlapping-events/,2054. Two Best Non-Overlapping Events,45.0%,Medium
4,https://leetcode.com/problems/plates-between-candles/,2055. Plates Between Candles,44.4%,Medium
5,https://leetcode.com/problems/number-of-valid-move-combinations-on-chessboard/,2056. Number of Valid Move Combinations On Chessboard,59.0%,Hard
6,https://leetcode.com/problems/smallest-index-with-equal-value/,2057. Smallest Index With Equal Value,71.2%,Easy
7,https://leetcode.com/problems/find-the-minimum-and-maximum-number-of-nodes-between-critical-points/,2058. Find the Minimum and Maximum Number of Nodes Between Critical Points,57.1%,Medium
8,https://leetcode.com/problems/minimum-operations-to-convert-number/,2059. Minimum Operations to Convert Number,47.3%,Medium
9,https://leetcode.com/problems/check-if-an-original-string-exists-given-two-encoded-strings/,2060. Check if an Original String Exists Given Two Encoded Strings,40.7%,Hard
10,https://leetcode.com/problems/number-of-spaces-cleaning-robot-cleaned/,2061. Number of Spaces Cleaning Robot Cleaned,54.7%,Medium
11,https://leetcode.com/problems/count-vowel-substrings-of-a-string/,2062. Count Vowel Substrings of a String,65.9%,Easy
12,https://leetcode.com/problems/vowels-of-all-substrings/,2063. Vowels of All Substrings,55.1%,Medium
13,https://leetcode.com/problems/minimized-maximum-of-products-distributed-to-any-store/,2064. Minimized Maximum of Products Distributed to Any Store,50.0%,Medium
14,https://leetcode.com/problems/maximum-path-quality-of-a-graph/,2065. Maximum Path Quality of a Graph,57.6%,Hard
15,https://leetcode.com/problems/account-balance/,2066. Account Balance,85.6%,Medium
16,https://leetcode.com/problems/number-of-equal-count-substrings/,2067. Number of Equal Count Substrings,49.2%,Medium
17,https://leetcode.com/problems/check-whether-two-strings-are-almost-equivalent/,2068. Check Whether Two Strings are Almost Equivalent,64.5%,Easy
18,https://leetcode.com/problems/walking-robot-simulation-ii/,2069. Walking Robot Simulation II,23.0%,Medium
19,https://leetcode.com/problems/most-beautiful-item-for-each-query/,2070. Most Beautiful Item for Each Query,49.7%,Medium
20,https://leetcode.com/problems/maximum-number-of-tasks-you-can-assign/,2071. Maximum Number of Tasks You Can Assign,34.7%,Hard
21,https://leetcode.com/problems/the-winner-university/,2072. The Winner University,72.6%,Easy
22,https://leetcode.com/problems/time-needed-to-buy-tickets/,2073. Time Needed to Buy Tickets,62.0%,Easy
23,https://leetcode.com/problems/reverse-nodes-in-even-length-groups/,2074. Reverse Nodes in Even Length Groups,52.0%,Medium
24,https://leetcode.com/problems/decode-the-slanted-ciphertext/,2075. Decode the Slanted Ciphertext,50.2%,Medium
25,https://leetcode.com/problems/process-restricted-friend-requests/,2076. Process Restricted Friend Requests,53.2%,Hard
26,https://leetcode.com/problems/paths-in-maze-that-lead-to-same-room/,2077. Paths in Maze That Lead to Same Room,56.3%,Medium
27,https://leetcode.com/problems/two-furthest-houses-with-different-colors/,2078. Two Furthest Houses With Different Colors,67.1%,Easy
28,https://leetcode.com/problems/watering-plants/,2079. Watering Plants,80.2%,Medium
29,https://leetcode.com/problems/range-frequency-queries/,2080. Range Frequency Queries,38.3%,Medium
30,https://leetcode.com/problems/sum-of-k-mirror-numbers/,2081. Sum of k-Mirror Numbers,42.1%,Hard
31,https://leetcode.com/problems/the-number-of-rich-customers/,2082. The Number of Rich Customers,80.3%,Easy
32,https://leetcode.com/problems/substrings-that-begin-and-end-with-the-same-letter/,2083. Substrings That Begin and End With the Same Letter,68.1%,Medium
33,https://leetcode.com/problems/drop-type-1-orders-for-customers-with-type-0-orders/,2084. Drop Type 1 Orders for Customers With Type 0 Orders,90.5%,Medium
34,https://leetcode.com/problems/count-common-words-with-one-occurrence/,2085. Count Common Words With One Occurrence,69.7%,Easy
35,https://leetcode.com/problems/minimum-number-of-food-buckets-to-feed-the-hamsters/,2086. Minimum Number of Food Buckets to Feed the Hamsters,45.1%,Medium
36,https://leetcode.com/problems/minimum-cost-homecoming-of-a-robot-in-a-grid/,2087. Minimum Cost Homecoming of a Robot in a Grid,51.3%,Medium
37,https://leetcode.com/problems/count-fertile-pyramids-in-a-land/,2088. Count Fertile Pyramids in a Land,63.5%,Hard
38,https://leetcode.com/problems/find-target-indices-after-sorting-array/,2089. Find Target Indices After Sorting Array,76.6%,Easy
39,https://leetcode.com/problems/k-radius-subarray-averages/,2090. K Radius Subarray Averages,42.6%,Medium
40,https://leetcode.com/problems/removing-minimum-and-maximum-from-array/,2091. Removing Minimum and Maximum From Array,56.6%,Medium
41,https://leetcode.com/problems/find-all-people-with-secret/,2092. Find All People With Secret,34.2%,Hard
42,https://leetcode.com/problems/minimum-cost-to-reach-city-with-discounts/,2093. Minimum Cost to Reach City With Discounts,56.2%,Medium
43,https://leetcode.com/problems/finding-3-digit-even-numbers/,2094. Finding 3-Digit Even Numbers,57.4%,Easy
44,https://leetcode.com/problems/delete-the-middle-node-of-a-linked-list/,2095. Delete the Middle Node of a Linked List,60.5%,Medium
45,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another/,2096. Step-By-Step Directions From a Binary Tree Node to Another,48.8%,Medium
46,https://leetcode.com/problems/valid-arrangement-of-pairs/,2097. Valid Arrangement of Pairs,41.0%,Hard
47,https://leetcode.com/problems/subsequence-of-size-k-with-the-largest-even-sum/,2098. Subsequence of Size K With the Largest Even Sum,38.5%,Medium
48,https://leetcode.com/problems/find-subsequence-of-length-k-with-the-largest-sum/,2099. Find Subsequence of Length K With the Largest Sum,42.5%,Easy
49,https://leetcode.com/problems/find-good-days-to-rob-the-bank/,2100. Find Good Days to Rob the Bank,49.2%,Medium
