,0,1,2,3
0,https://leetcode.com/problems/count-artifacts-that-can-be-extracted/,2201. Count Artifacts That Can Be Extracted,55.1%,Medium
1,https://leetcode.com/problems/maximize-the-topmost-element-after-k-moves/,2202. Maximize the Topmost Element After K Moves,22.8%,Medium
2,https://leetcode.com/problems/minimum-weighted-subgraph-with-the-required-paths/,2203. Minimum Weighted Subgraph With the Required Paths,35.7%,Hard
3,https://leetcode.com/problems/distance-to-a-cycle-in-undirected-graph/,2204. Distance to a Cycle in Undirected Graph,70.1%,Hard
4,https://leetcode.com/problems/the-number-of-users-that-are-eligible-for-discount/,2205. The Number of Users That Are Eligible for Discount,50.2%,Easy
5,https://leetcode.com/problems/divide-array-into-equal-pairs/,2206. Divide Array Into Equal Pairs,74.6%,Easy
6,https://leetcode.com/problems/maximize-number-of-subsequences-in-a-string/,2207. Maximize Number of Subsequences in a String,32.8%,Medium
7,https://leetcode.com/problems/minimum-operations-to-halve-array-sum/,2208. Minimum Operations to Halve Array Sum,45.2%,Medium
8,https://leetcode.com/problems/minimum-white-tiles-after-covering-with-carpets/,2209. Minimum White Tiles After Covering With Carpets,33.8%,Hard
9,https://leetcode.com/problems/count-hills-and-valleys-in-an-array/,2210. Count Hills and Valleys in an Array,58.1%,Easy
10,https://leetcode.com/problems/count-collisions-on-a-road/,2211. Count Collisions on a Road,41.9%,Medium
11,https://leetcode.com/problems/maximum-points-in-an-archery-competition/,2212. Maximum Points in an Archery Competition,48.9%,Medium
12,https://leetcode.com/problems/longest-substring-of-one-repeating-character/,2213. Longest Substring of One Repeating Character,31.0%,Hard
13,https://leetcode.com/problems/minimum-health-to-beat-game/,2214. Minimum Health to Beat Game,57.4%,Medium
14,https://leetcode.com/problems/find-the-difference-of-two-arrays/,2215. Find the Difference of Two Arrays,69.3%,Easy
15,https://leetcode.com/problems/minimum-deletions-to-make-array-beautiful/,2216. Minimum Deletions to Make Array Beautiful,46.3%,Medium
16,https://leetcode.com/problems/find-palindrome-with-fixed-length/,2217. Find Palindrome With Fixed Length,34.3%,Medium
17,https://leetcode.com/problems/maximum-value-of-k-coins-from-piles/,2218. Maximum Value of K Coins From Piles,48.2%,Hard
