,0,1,2,3
0,https://leetcode.com/problems/symmetric-tree/,101. Symmetric Tree,53.0%,Easy
1,https://leetcode.com/problems/binary-tree-level-order-traversal/,102. Binary Tree Level Order Traversal,63.4%,Medium
2,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,103. Binary Tree Zigzag Level Order Traversal,55.2%,Medium
3,https://leetcode.com/problems/maximum-depth-of-binary-tree/,104. Maximum Depth of Binary Tree,73.2%,Easy
4,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,105. Construct Binary Tree from Preorder and Inorder Traversal,60.9%,Medium
5,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,106. Construct Binary Tree from Inorder and Postorder Traversal,57.5%,Medium
6,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/,107. Binary Tree Level Order Traversal II,60.4%,Medium
7,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,108. Convert Sorted Array to Binary Search Tree,69.1%,Easy
8,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/,109. Convert Sorted List to Binary Search Tree,57.4%,Medium
9,https://leetcode.com/problems/balanced-binary-tree/,110. Balanced Binary Tree,48.3%,Easy
10,https://leetcode.com/problems/minimum-depth-of-binary-tree/,111. Minimum Depth of Binary Tree,43.7%,Easy
11,https://leetcode.com/problems/path-sum/,112. Path Sum,47.7%,Easy
12,https://leetcode.com/problems/path-sum-ii/,113. Path Sum II,56.7%,Medium
13,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,114. Flatten Binary Tree to Linked List,61.2%,Medium
14,https://leetcode.com/problems/distinct-subsequences/,115. Distinct Subsequences,43.9%,Hard
15,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/,116. Populating Next Right Pointers in Each Node,59.5%,Medium
16,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/,117. Populating Next Right Pointers in Each Node II,49.8%,Medium
17,https://leetcode.com/problems/pascals-triangle/,118. Pascal's Triangle,69.3%,Easy
18,https://leetcode.com/problems/pascals-triangle-ii/,119. Pascal's Triangle II,59.8%,Easy
19,https://leetcode.com/problems/triangle/,120. Triangle,54.0%,Medium
20,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,121. Best Time to Buy and Sell Stock,54.4%,Easy
21,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,122. Best Time to Buy and Sell Stock II,63.4%,Medium
22,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,123. Best Time to Buy and Sell Stock III,44.9%,Hard
23,https://leetcode.com/problems/binary-tree-maximum-path-sum/,124. Binary Tree Maximum Path Sum,38.5%,Hard
24,https://leetcode.com/problems/valid-palindrome/,125. Valid Palindrome,43.7%,Easy
25,https://leetcode.com/problems/word-ladder-ii/,126. Word Ladder II,27.6%,Hard
26,https://leetcode.com/problems/word-ladder/,127. Word Ladder,36.7%,Hard
27,https://leetcode.com/problems/longest-consecutive-sequence/,128. Longest Consecutive Sequence,48.9%,Medium
28,https://leetcode.com/problems/sum-root-to-leaf-numbers/,129. Sum Root to Leaf Numbers,58.8%,Medium
29,https://leetcode.com/problems/surrounded-regions/,130. Surrounded Regions,36.1%,Medium
30,https://leetcode.com/problems/palindrome-partitioning/,131. Palindrome Partitioning,62.6%,Medium
31,https://leetcode.com/problems/palindrome-partitioning-ii/,132. Palindrome Partitioning II,33.6%,Hard
32,https://leetcode.com/problems/clone-graph/,133. Clone Graph,50.8%,Medium
33,https://leetcode.com/problems/gas-station/,134. Gas Station,45.1%,Medium
34,https://leetcode.com/problems/candy/,135. Candy,40.8%,Hard
35,https://leetcode.com/problems/single-number/,136. Single Number,70.1%,Easy
36,https://leetcode.com/problems/single-number-ii/,137. Single Number II,57.9%,Medium
37,https://leetcode.com/problems/copy-list-with-random-pointer/,138. Copy List with Random Pointer,50.6%,Medium
38,https://leetcode.com/problems/word-break/,139. Word Break,45.5%,Medium
39,https://leetcode.com/problems/word-break-ii/,140. Word Break II,44.6%,Hard
40,https://leetcode.com/problems/linked-list-cycle/,141. Linked List Cycle,47.0%,Easy
41,https://leetcode.com/problems/linked-list-cycle-ii/,142. Linked List Cycle II,46.5%,Medium
42,https://leetcode.com/problems/reorder-list/,143. Reorder List,51.2%,Medium
43,https://leetcode.com/problems/binary-tree-preorder-traversal/,144. Binary Tree Preorder Traversal,64.8%,Easy
44,https://leetcode.com/problems/binary-tree-postorder-traversal/,145. Binary Tree Postorder Traversal,66.8%,Easy
45,https://leetcode.com/problems/lru-cache/,146. LRU Cache,40.5%,Medium
46,https://leetcode.com/problems/insertion-sort-list/,147. Insertion Sort List,50.3%,Medium
47,https://leetcode.com/problems/sort-list/,148. Sort List,54.3%,Medium
48,https://leetcode.com/problems/max-points-on-a-line/,149. Max Points on a Line,21.8%,Hard
49,https://leetcode.com/problems/evaluate-reverse-polish-notation/,150. Evaluate Reverse Polish Notation,44.1%,Medium
