,0,1,2,3
0,https://leetcode.com/problems/remove-invalid-parentheses/,301. Remove Invalid Parentheses,47.1%,Hard
1,https://leetcode.com/problems/smallest-rectangle-enclosing-black-pixels/,302. Smallest Rectangle Enclosing Black Pixels,58.3%,Hard
2,https://leetcode.com/problems/range-sum-query-immutable/,303. Range Sum Query - Immutable,58.2%,Easy
3,https://leetcode.com/problems/range-sum-query-2d-immutable/,304. Range Sum Query 2D - Immutable,52.3%,Medium
4,https://leetcode.com/problems/number-of-islands-ii/,305. Number of Islands II,39.4%,Hard
5,https://leetcode.com/problems/additive-number/,306. Additive Number,30.9%,Medium
6,https://leetcode.com/problems/range-sum-query-mutable/,307. Range Sum Query - Mutable,40.7%,Medium
7,https://leetcode.com/problems/range-sum-query-2d-mutable/,308. Range Sum Query 2D - Mutable,42.4%,Hard
8,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,309. Best Time to Buy and Sell Stock with Cooldown,54.6%,Medium
9,https://leetcode.com/problems/minimum-height-trees/,310. Minimum Height Trees,38.5%,Medium
10,https://leetcode.com/problems/sparse-matrix-multiplication/,311. Sparse Matrix Multiplication,67.2%,Medium
11,https://leetcode.com/problems/burst-balloons/,312. Burst Balloons,56.8%,Hard
12,https://leetcode.com/problems/super-ugly-number/,313. Super Ugly Number,45.8%,Medium
13,https://leetcode.com/problems/binary-tree-vertical-order-traversal/,314. Binary Tree Vertical Order Traversal,52.1%,Medium
14,https://leetcode.com/problems/count-of-smaller-numbers-after-self/,315. Count of Smaller Numbers After Self,42.8%,Hard
15,https://leetcode.com/problems/remove-duplicate-letters/,316. Remove Duplicate Letters,44.6%,Medium
16,https://leetcode.com/problems/shortest-distance-from-all-buildings/,317. Shortest Distance from All Buildings,42.9%,Hard
17,https://leetcode.com/problems/maximum-product-of-word-lengths/,318. Maximum Product of Word Lengths,60.1%,Medium
18,https://leetcode.com/problems/bulb-switcher/,319. Bulb Switcher,48.1%,Medium
19,https://leetcode.com/problems/generalized-abbreviation/,320. Generalized Abbreviation,57.3%,Medium
20,https://leetcode.com/problems/create-maximum-number/,321. Create Maximum Number,28.8%,Hard
21,https://leetcode.com/problems/coin-change/,322. Coin Change,41.6%,Medium
22,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,323. Number of Connected Components in an Undirected Graph,62.1%,Medium
23,https://leetcode.com/problems/wiggle-sort-ii/,324. Wiggle Sort II,33.0%,Medium
24,https://leetcode.com/problems/maximum-size-subarray-sum-equals-k/,325. Maximum Size Subarray Sum Equals k,49.3%,Medium
25,https://leetcode.com/problems/power-of-three/,326. Power of Three,45.3%,Easy
26,https://leetcode.com/problems/count-of-range-sum/,327. Count of Range Sum,36.1%,Hard
27,https://leetcode.com/problems/odd-even-linked-list/,328. Odd Even Linked List,60.3%,Medium
28,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/,329. Longest Increasing Path in a Matrix,52.2%,Hard
29,https://leetcode.com/problems/patching-array/,330. Patching Array,40.0%,Hard
30,https://leetcode.com/problems/verify-preorder-serialization-of-a-binary-tree/,331. Verify Preorder Serialization of a Binary Tree,44.3%,Medium
31,https://leetcode.com/problems/reconstruct-itinerary/,332. Reconstruct Itinerary,41.0%,Hard
32,https://leetcode.com/problems/largest-bst-subtree/,333. Largest BST Subtree,42.5%,Medium
33,https://leetcode.com/problems/increasing-triplet-subsequence/,334. Increasing Triplet Subsequence,42.7%,Medium
34,https://leetcode.com/problems/self-crossing/,335. Self Crossing,29.3%,Hard
35,https://leetcode.com/problems/palindrome-pairs/,336. Palindrome Pairs,35.2%,Hard
36,https://leetcode.com/problems/house-robber-iii/,337. House Robber III,53.9%,Medium
37,https://leetcode.com/problems/counting-bits/,338. Counting Bits,75.3%,Easy
38,https://leetcode.com/problems/nested-list-weight-sum/,339. Nested List Weight Sum,82.2%,Medium
39,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters/,340. Longest Substring with At Most K Distinct Characters,47.8%,Medium
40,https://leetcode.com/problems/flatten-nested-list-iterator/,341. Flatten Nested List Iterator,61.6%,Medium
41,https://leetcode.com/problems/power-of-four/,342. Power of Four,45.7%,Easy
42,https://leetcode.com/problems/integer-break/,343. Integer Break,55.4%,Medium
43,https://leetcode.com/problems/reverse-string/,344. Reverse String,76.2%,Easy
44,https://leetcode.com/problems/reverse-vowels-of-a-string/,345. Reverse Vowels of a String,49.8%,Easy
45,https://leetcode.com/problems/moving-average-from-data-stream/,346. Moving Average from Data Stream,77.1%,Easy
46,https://leetcode.com/problems/top-k-frequent-elements/,347. Top K Frequent Elements,64.8%,Medium
47,https://leetcode.com/problems/design-tic-tac-toe/,348. Design Tic-Tac-Toe,57.6%,Medium
48,https://leetcode.com/problems/intersection-of-two-arrays/,349. Intersection of Two Arrays,70.4%,Easy
49,https://leetcode.com/problems/intersection-of-two-arrays-ii/,350. Intersection of Two Arrays II,55.6%,Easy
