,0,1,2,3
0,https://leetcode.com/problems/grid-illumination/,1001. Grid Illumination,36.3%,Hard
1,https://leetcode.com/problems/find-common-characters/,1002. Find Common Characters,68.3%,Easy
2,https://leetcode.com/problems/check-if-word-is-valid-after-substitutions/,1003. Check If Word Is Valid After Substitutions,58.2%,Medium
3,https://leetcode.com/problems/max-consecutive-ones-iii/,1004. Max Consecutive Ones III,63.4%,Medium
4,https://leetcode.com/problems/maximize-sum-of-array-after-k-negations/,1005. Maximize Sum Of Array After K Negations,51.0%,Easy
5,https://leetcode.com/problems/clumsy-factorial/,1006. Clumsy Factorial,55.0%,Medium
6,https://leetcode.com/problems/minimum-domino-rotations-for-equal-row/,1007. Minimum Domino Rotations For Equal Row,52.4%,Medium
7,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal/,1008. Construct Binary Search Tree from Preorder Traversal,80.9%,Medium
8,https://leetcode.com/problems/complement-of-base-10-integer/,1009. Complement of Base 10 Integer,61.9%,Easy
9,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60/,1010. Pairs of Songs With Total Durations Divisible by 60,52.9%,Medium
10,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,1011. Capacity To Ship Packages Within D Days,64.6%,Medium
11,https://leetcode.com/problems/numbers-with-repeated-digits/,1012. Numbers With Repeated Digits,40.6%,Hard
12,https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum/,1013. Partition Array Into Three Parts With Equal Sum,43.3%,Easy
13,https://leetcode.com/problems/best-sightseeing-pair/,1014. Best Sightseeing Pair,59.5%,Medium
14,https://leetcode.com/problems/smallest-integer-divisible-by-k/,1015. Smallest Integer Divisible by K,47.0%,Medium
15,https://leetcode.com/problems/binary-string-with-substrings-representing-1-to-n/,1016. Binary String With Substrings Representing 1 To N,57.6%,Medium
16,https://leetcode.com/problems/convert-to-base-2/,1017. Convert to Base -2,61.0%,Medium
17,https://leetcode.com/problems/binary-prefix-divisible-by-5/,1018. Binary Prefix Divisible By 5,47.2%,Easy
18,https://leetcode.com/problems/next-greater-node-in-linked-list/,1019. Next Greater Node In Linked List,59.9%,Medium
19,https://leetcode.com/problems/number-of-enclaves/,1020. Number of Enclaves,65.0%,Medium
20,https://leetcode.com/problems/remove-outermost-parentheses/,1021. Remove Outermost Parentheses,80.2%,Easy
21,https://leetcode.com/problems/sum-of-root-to-leaf-binary-numbers/,1022. Sum of Root To Leaf Binary Numbers,73.7%,Easy
22,https://leetcode.com/problems/camelcase-matching/,1023. Camelcase Matching,60.2%,Medium
23,https://leetcode.com/problems/video-stitching/,1024. Video Stitching,50.5%,Medium
24,https://leetcode.com/problems/divisor-game/,1025. Divisor Game,67.2%,Easy
25,https://leetcode.com/problems/maximum-difference-between-node-and-ancestor/,1026. Maximum Difference Between Node and Ancestor,73.4%,Medium
26,https://leetcode.com/problems/longest-arithmetic-subsequence/,1027. Longest Arithmetic Subsequence,47.0%,Medium
27,https://leetcode.com/problems/recover-a-tree-from-preorder-traversal/,1028. Recover a Tree From Preorder Traversal,73.0%,Hard
28,https://leetcode.com/problems/two-city-scheduling/,1029. Two City Scheduling,64.8%,Medium
29,https://leetcode.com/problems/matrix-cells-in-distance-order/,1030. Matrix Cells in Distance Order,69.3%,Easy
30,https://leetcode.com/problems/maximum-sum-of-two-non-overlapping-subarrays/,1031. Maximum Sum of Two Non-Overlapping Subarrays,59.4%,Medium
31,https://leetcode.com/problems/stream-of-characters/,1032. Stream of Characters,51.6%,Hard
32,https://leetcode.com/problems/moving-stones-until-consecutive/,1033. Moving Stones Until Consecutive,45.7%,Medium
33,https://leetcode.com/problems/coloring-a-border/,1034. Coloring A Border,48.9%,Medium
34,https://leetcode.com/problems/uncrossed-lines/,1035. Uncrossed Lines,58.7%,Medium
35,https://leetcode.com/problems/escape-a-large-maze/,1036. Escape a Large Maze,34.1%,Hard
36,https://leetcode.com/problems/valid-boomerang/,1037. Valid Boomerang,37.4%,Easy
37,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree/,1038. Binary Search Tree to Greater Sum Tree,85.4%,Medium
38,https://leetcode.com/problems/minimum-score-triangulation-of-polygon/,1039. Minimum Score Triangulation of Polygon,54.7%,Medium
39,https://leetcode.com/problems/moving-stones-until-consecutive-ii/,1040. Moving Stones Until Consecutive II,55.7%,Medium
40,https://leetcode.com/problems/robot-bounded-in-circle/,1041. Robot Bounded In Circle,55.3%,Medium
41,https://leetcode.com/problems/flower-planting-with-no-adjacent/,1042. Flower Planting With No Adjacent,50.4%,Medium
42,https://leetcode.com/problems/partition-array-for-maximum-sum/,1043. Partition Array for Maximum Sum,71.2%,Medium
43,https://leetcode.com/problems/longest-duplicate-substring/,1044. Longest Duplicate Substring,30.6%,Hard
44,https://leetcode.com/problems/customers-who-bought-all-products/,1045. Customers Who Bought All Products,67.6%,Medium
45,https://leetcode.com/problems/last-stone-weight/,1046. Last Stone Weight,64.7%,Easy
46,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string/,1047. Remove All Adjacent Duplicates In String,70.4%,Easy
47,https://leetcode.com/problems/longest-string-chain/,1048. Longest String Chain,59.1%,Medium
48,https://leetcode.com/problems/last-stone-weight-ii/,1049. Last Stone Weight II,52.6%,Medium
49,https://leetcode.com/problems/actors-and-directors-who-cooperated-at-least-three-times/,1050. Actors and Directors Who Cooperated At Least Three Times,72.2%,Easy
