,0,1,2,3
0,https://leetcode.com/problems/loud-and-rich/,851. Loud and Rich,58.2%,Medium
1,https://leetcode.com/problems/peak-index-in-a-mountain-array/,852. Peak Index in a Mountain Array,69.4%,Medium
2,https://leetcode.com/problems/car-fleet/,853. Car Fleet,50.1%,Medium
3,https://leetcode.com/problems/k-similar-strings/,854. K-Similar Strings,40.1%,Hard
4,https://leetcode.com/problems/exam-room/,855. Exam Room,43.4%,Medium
5,https://leetcode.com/problems/score-of-parentheses/,856. Score of Parentheses,65.0%,Medium
6,https://leetcode.com/problems/minimum-cost-to-hire-k-workers/,857. Minimum Cost to Hire K Workers,52.0%,Hard
7,https://leetcode.com/problems/mirror-reflection/,858. Mirror Reflection,63.3%,Medium
8,https://leetcode.com/problems/buddy-strings/,859. Buddy Strings,29.1%,Easy
9,https://leetcode.com/problems/lemonade-change/,860. Lemonade Change,52.8%,Easy
10,https://leetcode.com/problems/score-after-flipping-matrix/,861. Score After Flipping Matrix,75.1%,Medium
11,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k/,862. Shortest Subarray with Sum at Least K,26.1%,Hard
12,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/,863. All Nodes Distance K in Binary Tree,62.1%,Medium
13,https://leetcode.com/problems/shortest-path-to-get-all-keys/,864. Shortest Path to Get All Keys,45.5%,Hard
14,https://leetcode.com/problems/smallest-subtree-with-all-the-deepest-nodes/,865. Smallest Subtree with all the Deepest Nodes,68.6%,Medium
15,https://leetcode.com/problems/prime-palindrome/,866. Prime Palindrome,25.8%,Medium
16,https://leetcode.com/problems/transpose-matrix/,867. Transpose Matrix,63.4%,Easy
17,https://leetcode.com/problems/binary-gap/,868. Binary Gap,61.9%,Easy
18,https://leetcode.com/problems/reordered-power-of-2/,869. Reordered Power of 2,63.9%,Medium
19,https://leetcode.com/problems/advantage-shuffle/,870. Advantage Shuffle,51.7%,Medium
20,https://leetcode.com/problems/minimum-number-of-refueling-stops/,871. Minimum Number of Refueling Stops,39.9%,Hard
21,https://leetcode.com/problems/leaf-similar-trees/,872. Leaf-Similar Trees,65.2%,Easy
22,https://leetcode.com/problems/length-of-longest-fibonacci-subsequence/,873. Length of Longest Fibonacci Subsequence,48.6%,Medium
23,https://leetcode.com/problems/walking-robot-simulation/,874. Walking Robot Simulation,38.4%,Medium
24,https://leetcode.com/problems/koko-eating-bananas/,875. Koko Eating Bananas,52.2%,Medium
25,https://leetcode.com/problems/middle-of-the-linked-list/,876. Middle of the Linked List,73.9%,Easy
26,https://leetcode.com/problems/stone-game/,877. Stone Game,69.7%,Medium
27,https://leetcode.com/problems/nth-magical-number/,878. Nth Magical Number,35.6%,Hard
28,https://leetcode.com/problems/profitable-schemes/,879. Profitable Schemes,40.4%,Hard
29,https://leetcode.com/problems/decoded-string-at-index/,880. Decoded String at Index,28.3%,Medium
30,https://leetcode.com/problems/boats-to-save-people/,881. Boats to Save People,52.7%,Medium
31,https://leetcode.com/problems/reachable-nodes-in-subdivided-graph/,882. Reachable Nodes In Subdivided Graph,50.3%,Hard
32,https://leetcode.com/problems/projection-area-of-3d-shapes/,883. Projection Area of 3D Shapes,70.7%,Easy
33,https://leetcode.com/problems/uncommon-words-from-two-sentences/,884. Uncommon Words from Two Sentences,66.0%,Easy
34,https://leetcode.com/problems/spiral-matrix-iii/,885. Spiral Matrix III,73.2%,Medium
35,https://leetcode.com/problems/possible-bipartition/,886. Possible Bipartition,48.5%,Medium
36,https://leetcode.com/problems/super-egg-drop/,887. Super Egg Drop,27.2%,Hard
37,https://leetcode.com/problems/fair-candy-swap/,888. Fair Candy Swap,60.5%,Easy
38,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal/,889. Construct Binary Tree from Preorder and Postorder Traversal,70.8%,Medium
39,https://leetcode.com/problems/find-and-replace-pattern/,890. Find and Replace Pattern,77.9%,Medium
40,https://leetcode.com/problems/sum-of-subsequence-widths/,891. Sum of Subsequence Widths,36.4%,Hard
41,https://leetcode.com/problems/surface-area-of-3d-shapes/,892. Surface Area of 3D Shapes,63.3%,Easy
42,https://leetcode.com/problems/groups-of-special-equivalent-strings/,893. Groups of Special-Equivalent Strings,70.9%,Medium
43,https://leetcode.com/problems/all-possible-full-binary-trees/,894. All Possible Full Binary Trees,80.0%,Medium
44,https://leetcode.com/problems/maximum-frequency-stack/,895. Maximum Frequency Stack,66.8%,Hard
45,https://leetcode.com/problems/monotonic-array/,896. Monotonic Array,58.3%,Easy
46,https://leetcode.com/problems/increasing-order-search-tree/,897. Increasing Order Search Tree,78.5%,Easy
47,https://leetcode.com/problems/bitwise-ors-of-subarrays/,898. Bitwise ORs of Subarrays,36.9%,Medium
48,https://leetcode.com/problems/orderly-queue/,899. Orderly Queue,66.5%,Hard
49,https://leetcode.com/problems/rle-iterator/,900. RLE Iterator,59.5%,Medium
