,0,1,2,3
0,https://leetcode.com/problems/all-the-pairs-with-the-maximum-number-of-common-followers/,1951. All the Pairs With the Maximum Number of Common Followers,73.0%,Medium
1,https://leetcode.com/problems/three-divisors/,1952. Three Divisors,57.2%,Easy
2,https://leetcode.com/problems/maximum-number-of-weeks-for-which-you-can-work/,1953. Maximum Number of Weeks for Which You Can Work,39.1%,Medium
3,https://leetcode.com/problems/minimum-garden-perimeter-to-collect-enough-apples/,1954. Minimum Garden Perimeter to Collect Enough Apples,53.0%,Medium
4,https://leetcode.com/problems/count-number-of-special-subsequences/,1955. Count Number of Special Subsequences,51.3%,Hard
5,https://leetcode.com/problems/minimum-time-for-k-virus-variants-to-spread/,1956. Minimum Time For K Virus Variants to Spread,46.7%,Hard
6,https://leetcode.com/problems/delete-characters-to-make-fancy-string/,1957. Delete Characters to Make Fancy String,56.7%,Easy
7,https://leetcode.com/problems/check-if-move-is-legal/,1958. Check if Move is Legal,44.6%,Medium
8,https://leetcode.com/problems/minimum-total-space-wasted-with-k-resizing-operations/,1959. Minimum Total Space Wasted With K Resizing Operations,42.0%,Medium
9,https://leetcode.com/problems/maximum-product-of-the-length-of-two-palindromic-substrings/,1960. Maximum Product of the Length of Two Palindromic Substrings,29.3%,Hard
10,https://leetcode.com/problems/check-if-string-is-a-prefix-of-array/,1961. Check If String Is a Prefix of Array,54.1%,Easy
11,https://leetcode.com/problems/remove-stones-to-minimize-the-total/,1962. Remove Stones to Minimize the Total,59.2%,Medium
12,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced/,1963. Minimum Number of Swaps to Make the String Balanced,68.4%,Medium
13,https://leetcode.com/problems/find-the-longest-valid-obstacle-course-at-each-position/,1964. Find the Longest Valid Obstacle Course at Each Position,46.9%,Hard
14,https://leetcode.com/problems/employees-with-missing-information/,1965. Employees With Missing Information,80.4%,Easy
15,https://leetcode.com/problems/binary-searchable-numbers-in-an-unsorted-array/,1966. Binary Searchable Numbers in an Unsorted Array,65.5%,Medium
