,0,1,2,3
0,https://leetcode.com/problems/first-letter-to-appear-twice/,2351. First Letter to Appear Twice,76.1%,Easy
1,https://leetcode.com/problems/equal-row-and-column-pairs/,2352. Equal Row and Column Pairs,71.1%,Medium
2,https://leetcode.com/problems/design-a-food-rating-system/,2353. Design a Food Rating System,34.5%,Medium
3,https://leetcode.com/problems/number-of-excellent-pairs/,2354. Number of Excellent Pairs,45.8%,Hard
4,https://leetcode.com/problems/maximum-number-of-books-you-can-take/,2355. Maximum Number of Books You Can Take,45.7%,Hard
5,https://leetcode.com/problems/number-of-unique-subjects-taught-by-each-teacher/,2356. Number of Unique Subjects Taught by Each Teacher,91.4%,Easy
6,https://leetcode.com/problems/make-array-zero-by-subtracting-equal-amounts/,2357. Make Array Zero by Subtracting Equal Amounts,72.7%,Easy
7,https://leetcode.com/problems/maximum-number-of-groups-entering-a-competition/,2358. Maximum Number of Groups Entering a Competition,67.5%,Medium
8,https://leetcode.com/problems/find-closest-node-to-given-two-nodes/,2359. Find Closest Node to Given Two Nodes,34.2%,Medium
9,https://leetcode.com/problems/longest-cycle-in-a-graph/,2360. Longest Cycle in a Graph,38.6%,Hard
10,https://leetcode.com/problems/minimum-costs-using-the-train-line/,2361. Minimum Costs Using the Train Line,77.0%,Hard
11,https://leetcode.com/problems/generate-the-invoice/,2362. Generate the Invoice,87.7%,Hard
12,https://leetcode.com/problems/merge-similar-items/,2363. Merge Similar Items,75.3%,Easy
13,https://leetcode.com/problems/count-number-of-bad-pairs/,2364. Count Number of Bad Pairs,40.8%,Medium
14,https://leetcode.com/problems/task-scheduler-ii/,2365. Task Scheduler II,46.2%,Medium
15,https://leetcode.com/problems/minimum-replacements-to-sort-the-array/,2366. Minimum Replacements to Sort the Array,39.9%,Hard
16,https://leetcode.com/problems/number-of-arithmetic-triplets/,2367. Number of Arithmetic Triplets,83.7%,Easy
17,https://leetcode.com/problems/reachable-nodes-with-restrictions/,2368. Reachable Nodes With Restrictions,57.5%,Medium
18,https://leetcode.com/problems/check-if-there-is-a-valid-partition-for-the-array/,2369. Check if There is a Valid Partition For The Array,40.1%,Medium
19,https://leetcode.com/problems/longest-ideal-subsequence/,2370. Longest Ideal Subsequence,37.9%,Medium
20,https://leetcode.com/problems/minimize-maximum-value-in-a-grid/,2371. Minimize Maximum Value in a Grid,70.0%,Hard
21,https://leetcode.com/problems/calculate-the-influence-of-each-salesperson/,2372. Calculate the Influence of Each Salesperson,88.9%,Medium
22,https://leetcode.com/problems/largest-local-values-in-a-matrix/,2373. Largest Local Values in a Matrix,83.9%,Easy
23,https://leetcode.com/problems/node-with-highest-edge-score/,2374. Node With Highest Edge Score,46.2%,Medium
24,https://leetcode.com/problems/construct-smallest-number-from-di-string/,2375. Construct Smallest Number From DI String,73.9%,Medium
25,https://leetcode.com/problems/count-special-integers/,2376. Count Special Integers,36.3%,Hard
26,https://leetcode.com/problems/sort-the-olympic-table/,2377. Sort the Olympic Table,80.6%,Easy
