,0,1,2,3
0,https://leetcode.com/problems/n-queens/,51. N-Queens,63.1%,Hard
1,https://leetcode.com/problems/n-queens-ii/,52. N-Queens II,71.0%,Hard
2,https://leetcode.com/problems/maximum-subarray/,53. Maximum Subarray,50.1%,Medium
3,https://leetcode.com/problems/spiral-matrix/,54. Spiral Matrix,43.9%,Medium
4,https://leetcode.com/problems/jump-game/,55. Jump Game,38.5%,Medium
5,https://leetcode.com/problems/merge-intervals/,56. Merge Intervals,46.0%,Medium
6,https://leetcode.com/problems/insert-interval/,57. Insert Interval,38.0%,Medium
7,https://leetcode.com/problems/length-of-last-word/,58. Length of Last Word,40.9%,Easy
8,https://leetcode.com/problems/spiral-matrix-ii/,59. Spiral Matrix II,66.7%,Medium
9,https://leetcode.com/problems/permutation-sequence/,60. Permutation Sequence,43.8%,Hard
10,https://leetcode.com/problems/rotate-list/,61. Rotate List,35.8%,Medium
11,https://leetcode.com/problems/unique-paths/,62. Unique Paths,62.3%,Medium
12,https://leetcode.com/problems/unique-paths-ii/,63. Unique Paths II,39.2%,Medium
13,https://leetcode.com/problems/minimum-path-sum/,64. Minimum Path Sum,60.7%,Medium
14,https://leetcode.com/problems/valid-number/,65. Valid Number,18.6%,Hard
15,https://leetcode.com/problems/plus-one/,66. Plus One,43.4%,Easy
16,https://leetcode.com/problems/add-binary/,67. Add Binary,51.4%,Easy
17,https://leetcode.com/problems/text-justification/,68. Text Justification,36.8%,Hard
18,https://leetcode.com/problems/sqrtx/,69. Sqrt(x),37.1%,Easy
19,https://leetcode.com/problems/climbing-stairs/,70. Climbing Stairs,51.8%,Easy
20,https://leetcode.com/problems/simplify-path/,71. Simplify Path,39.2%,Medium
21,https://leetcode.com/problems/edit-distance/,72. Edit Distance,52.7%,Hard
22,https://leetcode.com/problems/set-matrix-zeroes/,73. Set Matrix Zeroes,50.2%,Medium
23,https://leetcode.com/problems/search-a-2d-matrix/,74. Search a 2D Matrix,47.0%,Medium
24,https://leetcode.com/problems/sort-colors/,75. Sort Colors,57.4%,Medium
25,https://leetcode.com/problems/minimum-window-substring/,76. Minimum Window Substring,40.7%,Hard
26,https://leetcode.com/problems/combinations/,77. Combinations,66.2%,Medium
27,https://leetcode.com/problems/subsets/,78. Subsets,74.0%,Medium
28,https://leetcode.com/problems/word-search/,79. Word Search,39.8%,Medium
29,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/,80. Remove Duplicates from Sorted Array II,51.7%,Medium
30,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,81. Search in Rotated Sorted Array II,35.8%,Medium
31,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/,82. Remove Duplicates from Sorted List II,45.5%,Medium
32,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,83. Remove Duplicates from Sorted List,50.0%,Easy
33,https://leetcode.com/problems/largest-rectangle-in-histogram/,84. Largest Rectangle in Histogram,42.2%,Hard
34,https://leetcode.com/problems/maximal-rectangle/,85. Maximal Rectangle,44.2%,Hard
35,https://leetcode.com/problems/partition-list/,86. Partition List,51.4%,Medium
36,https://leetcode.com/problems/scramble-string/,87. Scramble String,36.1%,Hard
37,https://leetcode.com/problems/merge-sorted-array/,88. Merge Sorted Array,45.8%,Easy
38,https://leetcode.com/problems/gray-code/,89. Gray Code,56.6%,Medium
39,https://leetcode.com/problems/subsets-ii/,90. Subsets II,55.4%,Medium
40,https://leetcode.com/problems/decode-ways/,91. Decode Ways,32.3%,Medium
41,https://leetcode.com/problems/reverse-linked-list-ii/,92. Reverse Linked List II,45.4%,Medium
42,https://leetcode.com/problems/restore-ip-addresses/,93. Restore IP Addresses,43.6%,Medium
43,https://leetcode.com/problems/binary-tree-inorder-traversal/,94. Binary Tree Inorder Traversal,73.1%,Easy
44,https://leetcode.com/problems/unique-binary-search-trees-ii/,95. Unique Binary Search Trees II,51.7%,Medium
45,https://leetcode.com/problems/unique-binary-search-trees/,96. Unique Binary Search Trees,59.3%,Medium
46,https://leetcode.com/problems/interleaving-string/,97. Interleaving String,37.1%,Medium
47,https://leetcode.com/problems/validate-binary-search-tree/,98. Validate Binary Search Tree,31.8%,Medium
48,https://leetcode.com/problems/recover-binary-search-tree/,99. Recover Binary Search Tree,50.4%,Medium
49,https://leetcode.com/problems/same-tree/,100. Same Tree,56.4%,Easy
