,0,1,2,3
0,https://leetcode.com/problems/human-traffic-of-stadium/,601. Human Traffic of Stadium,50.7%,Hard
1,https://leetcode.com/problems/friend-requests-ii-who-has-the-most-friends/,602. Friend Requests II: Who Has the Most Friends,61.4%,Medium
2,https://leetcode.com/problems/consecutive-available-seats/,603. Consecutive Available Seats,68.2%,Easy
3,https://leetcode.com/problems/design-compressed-string-iterator/,604. Design Compressed String Iterator,39.4%,Easy
4,https://leetcode.com/problems/can-place-flowers/,605. Can Place Flowers,32.9%,Easy
5,https://leetcode.com/problems/construct-string-from-binary-tree/,606. Construct String from Binary Tree,63.6%,Easy
6,https://leetcode.com/problems/sales-person/,607. Sales Person,72.0%,Easy
7,https://leetcode.com/problems/tree-node/,608. Tree Node,73.7%,Medium
8,https://leetcode.com/problems/find-duplicate-file-in-system/,609. Find Duplicate File in System,67.8%,Medium
9,https://leetcode.com/problems/triangle-judgement/,610. Triangle Judgement,71.1%,Easy
10,https://leetcode.com/problems/valid-triangle-number/,611. Valid Triangle Number,50.4%,Medium
11,https://leetcode.com/problems/shortest-distance-in-a-plane/,612. Shortest Distance in a Plane,63.5%,Medium
12,https://leetcode.com/problems/shortest-distance-in-a-line/,613. Shortest Distance in a Line,81.5%,Easy
13,https://leetcode.com/problems/second-degree-follower/,614. Second Degree Follower,37.1%,Medium
14,https://leetcode.com/problems/average-salary-departments-vs-company/,615. Average Salary: Departments VS Company,57.3%,Hard
15,https://leetcode.com/problems/add-bold-tag-in-string/,616. Add Bold Tag in String,48.7%,Medium
16,https://leetcode.com/problems/merge-two-binary-trees/,617. Merge Two Binary Trees,78.6%,Easy
17,https://leetcode.com/problems/students-report-by-geography/,618. Students Report By Geography,64.3%,Hard
18,https://leetcode.com/problems/biggest-single-number/,619. Biggest Single Number,48.9%,Easy
19,https://leetcode.com/problems/not-boring-movies/,620. Not Boring Movies,73.2%,Easy
20,https://leetcode.com/problems/task-scheduler/,621. Task Scheduler,55.8%,Medium
21,https://leetcode.com/problems/design-circular-queue/,622. Design Circular Queue,51.8%,Medium
22,https://leetcode.com/problems/add-one-row-to-tree/,623. Add One Row to Tree,59.5%,Medium
23,https://leetcode.com/problems/maximum-distance-in-arrays/,624. Maximum Distance in Arrays,41.7%,Medium
24,https://leetcode.com/problems/minimum-factorization/,625. Minimum Factorization,33.5%,Medium
25,https://leetcode.com/problems/exchange-seats/,626. Exchange Seats,70.6%,Medium
26,https://leetcode.com/problems/swap-salary/,627. Swap Salary,83.1%,Easy
27,https://leetcode.com/problems/maximum-product-of-three-numbers/,628. Maximum Product of Three Numbers,46.4%,Easy
28,https://leetcode.com/problems/k-inverse-pairs-array/,629. K Inverse Pairs Array,42.9%,Hard
29,https://leetcode.com/problems/course-schedule-iii/,630. Course Schedule III,40.2%,Hard
30,https://leetcode.com/problems/design-excel-sum-formula/,631. Design Excel Sum Formula,43.4%,Hard
31,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists/,632. Smallest Range Covering Elements from K Lists,60.6%,Hard
32,https://leetcode.com/problems/sum-of-square-numbers/,633. Sum of Square Numbers,34.6%,Medium
33,https://leetcode.com/problems/find-the-derangement-of-an-array/,634. Find the Derangement of An Array,41.9%,Medium
34,https://leetcode.com/problems/design-log-storage-system/,635. Design Log Storage System,62.8%,Medium
35,https://leetcode.com/problems/exclusive-time-of-functions/,636. Exclusive Time of Functions,61.1%,Medium
36,https://leetcode.com/problems/average-of-levels-in-binary-tree/,637. Average of Levels in Binary Tree,71.7%,Easy
37,https://leetcode.com/problems/shopping-offers/,638. Shopping Offers,54.1%,Medium
38,https://leetcode.com/problems/decode-ways-ii/,639. Decode Ways II,30.4%,Hard
39,https://leetcode.com/problems/solve-the-equation/,640. Solve the Equation,43.4%,Medium
40,https://leetcode.com/problems/design-circular-deque/,641. Design Circular Deque,57.6%,Medium
41,https://leetcode.com/problems/design-search-autocomplete-system/,642. Design Search Autocomplete System,48.7%,Hard
42,https://leetcode.com/problems/maximum-average-subarray-i/,643. Maximum Average Subarray I,43.8%,Easy
43,https://leetcode.com/problems/maximum-average-subarray-ii/,644. Maximum Average Subarray II,35.8%,Hard
44,https://leetcode.com/problems/set-mismatch/,645. Set Mismatch,43.0%,Easy
45,https://leetcode.com/problems/maximum-length-of-pair-chain/,646. Maximum Length of Pair Chain,56.4%,Medium
46,https://leetcode.com/problems/palindromic-substrings/,647. Palindromic Substrings,66.4%,Medium
47,https://leetcode.com/problems/replace-words/,648. Replace Words,62.7%,Medium
48,https://leetcode.com/problems/dota2-senate/,649. Dota2 Senate,40.4%,Medium
49,https://leetcode.com/problems/2-keys-keyboard/,650. 2 Keys Keyboard,53.2%,Medium
